Year,Month,NH,HATS_NH_F11_sd,HATS_SH_F11,HATS_SH_F11_sd,Global,HATS_Global_F11_sd,HATS_alt_F11,HATS_alt_F11_sd,HATS_sum_F11,HATS_sum_F11_sd,HATS_brw_F11,HATS_brw_F11_sd,HATS_mhd_F11,HATS_mhd_F11_sd,HATS_thd_F11,HATS_thd_F11_sd,HATS_nwr_F11,HATS_nwr_F11_sd,HATS_kum_F11,HATS_kum_F11_sd,HATS_mlo_F11,HATS_mlo_F11_sd,HATS_smo_F11,HATS_smo_F11_sd,HATS_cgo_F11,HATS_cgo_F11_sd,HATS_ush_F11,HATS_ush_F11_sd,HATS_psa_F11,HATS_psa_F11_sd,HATS_spo_F11,HATS_spo_F11_sd,HATS_F11_Programs
1977,2,147.856,10.102,nan,nan,nan,nan,nan,nan,nan,nan,152.168,3.46,nan,nan,nan,nan,153.632,12.93,nan,nan,142.188,8.34,nan,nan,nan,nan,nan,nan,nan,nan,133.66,3.5,100000
1977,3,146.246,4.196,nan,nan,nan,nan,nan,nan,nan,nan,149.877,0.53,nan,nan,nan,nan,151.817,3.27,nan,nan,140.899,5.21,nan,nan,nan,nan,nan,nan,nan,nan,135.049,2.692,100000
1977,4,145.11,6.607,nan,nan,nan,nan,nan,nan,nan,nan,148.331,1.463,nan,nan,nan,nan,150.311,2.777,nan,nan,140.156,9.07,nan,nan,nan,nan,nan,nan,nan,nan,136.521,2.785,100000
1977,5,144.483,10.811,nan,nan,nan,nan,nan,nan,nan,nan,147.788,5.44,nan,nan,nan,nan,149.154,12.89,nan,nan,139.939,9.83,nan,nan,nan,nan,nan,nan,nan,nan,138.155,3.054,100000
1977,6,144.859,5.675,nan,nan,nan,nan,nan,nan,nan,nan,148.209,3.25,nan,nan,nan,nan,149.133,2.255,nan,nan,140.627,7.69,nan,nan,nan,nan,nan,nan,nan,nan,139.491,3.147,100000
1977,7,145.633,3.897,nan,nan,nan,nan,nan,nan,nan,nan,147.917,1.219,nan,nan,nan,nan,149.287,4.1,nan,nan,142.147,4.12,nan,nan,nan,nan,nan,nan,nan,nan,140.243,3.345,100000
1977,8,146.493,5.714,136.54,2.647,141.517,6.297,nan,nan,nan,nan,148.221,2.12,nan,nan,nan,nan,149.528,8.5,nan,nan,143.636,2.62,135.966,2.53,nan,nan,nan,nan,nan,nan,140.813,3.396,100000
1977,9,147.677,1.879,136.352,2.809,142.014,3.38,nan,nan,nan,nan,150.665,2.37,nan,nan,nan,nan,150.544,2.303,nan,nan,144.671,1.27,135.652,2.71,nan,nan,nan,nan,nan,nan,141.559,3.46,100000
1977,10,149.087,3.15,136.493,2.098,142.79,3.785,nan,nan,nan,nan,153.978,1.59,nan,nan,nan,nan,151.925,2.19,nan,nan,145.672,3.97,135.707,1.84,nan,nan,nan,nan,nan,nan,142.345,3.46,100000
1977,11,150.119,2.786,136.988,3.524,143.553,4.493,nan,nan,nan,nan,156.638,1.7,nan,nan,nan,nan,152.567,2.4,nan,nan,146.652,3.24,136.135,3.55,nan,nan,nan,nan,nan,nan,143.326,3.327,100000
