Snake#,Can#,Flight,Jday,date,OpenTime,CloseTime,Julian Open Time,Julian Closing Time,Jopen time Progressive,J close time Progressive,Latitude,Longitude,AltP_feet,AltP_meters,Radaralt_ft,Radaralt_m,SARP Year,Weather,Comments,H2 (ppbv)mult by 1.6,CH4 (ppmv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),H-2402 (D),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),HCFC-124 (MS),HFC-365mfc (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),Isoprene (E/B),n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)",2-Methylheptane (B),3-Methylheptane (B),"2,2,4-Trimethylpentane (B)",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane (B),Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m-Xylene (MS),p-Xylene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),Acetaldehyde (MS),Butanal (MS),Acetone (MS),Butanone (MS),Methanol (MS),Ethanol (MS)
2312,6359,1,202,7/21/09,19:40:30,19:41:11,202.82,202.82,40015.8198,40015.8203,36.04,-119.39,1218,,,,2009,,,,1.987,,,507,37,547,244,78,17,4.281,3.4,,,64.5,236,25.2,24.7,,,19.05,9.26,90.4,35.26,0.3,4.09,521,10.16,0.399,0.63,0.3,,,,10.11,6.95,9.89,1.57,7.48,1.12,2.16,,719,65,109,441,8,59,86,,0.00001,,,100,44,0.00001,31,6,0.00001,0.00001,0.00001,11,7,57,22,8,10,0.00001,3,,,11,4,,10,,18,25,0.00001,,,,,,,,4,0.00001,0.00001,11,30,9,0.00001,0.00001,661,,1045,,3594,3091
2321,8035,1,202,7/21/09,19:42:00,19:42:45,202.821,202.821,40015.8208,40015.8214,36.11,-119.31,1201,,,,2009,,,,1.891,,,499,32,533,240,76.9,16.7,4.3,3.5,,,59,224,25.3,24.9,,,18.9,9.1,90.6,33.18,0.24,3.71,507,10.2,0.337,0.62,0.28,,,,9.41,6.82,8.98,1.48,7.56,0.96,1.99,,771,57,99,389,8,65,91,,0.00001,,,84,41,4,12,7,0.00001,0.00001,0.00001,8,4,57,8,34,9,0.00001,0.00001,,,8,0.00001,,7,,19,19,5,,,,,,,,0.00001,0.00001,0.00001,6,21,9,0.00001,0.00001,763,,1548,,5966,5876
2306,7043,1,202,7/21/09,19:43:30,19:44:16,202.822,202.822,40015.8219,40015.8224,36.18,-119.24,1248,,,,2009,,,,2.066,,,487,42,532,238,76.1,16.6,4.29,3.3,,,79.7,273,24.4,25.9,,,22.2,9.83,89.7,48.56,0.428,5.65,503,18.11,0.451,0.65,0.34,,,,10.92,8.91,13.02,2.02,8.6,1.2,2.545,,962,139,184,764,18,79,109,,4,,,192,87,27,26,16,0.00001,0.00001,0.00001,16,12,95,26,18,19,4,6,,,20,6,,13,,29,60,0.00001,,,,,,,,0.00001,0.00001,0.00001,9,30,11,4,6,786,,1782,,4693,5011
2311,6125,1,202,7/21/09,19:45:00,19:45:48,202.823,202.823,40015.8229,40015.8235,36.26,-119.16,1227,,,,2009,,,,2.139,,,495,33,542,242,77.5,16.7,4.395,3.4,,,66.3,233,25.5,27.2,,,22.65,9.5,92.7,61.98,0.344,5.41,515,21.96,0.544,0.7,0.28,,,,12.25,10.28,14.95,2.32,8.62,1.27,2.435,,768,99,163,719,12,56,64,,0.00001,,,122,48,10,18,21,0.00001,0.00001,0.00001,12,6,81,15,14,13,0.00001,5,,,15,0.00001,,8,,27,40,6,,,,,,,,0.00001,0.00001,0.00001,8,20,14,6,4,922,,2348,,8513,7214
2322,8164,1,202,7/21/09,19:46:30,19:47:12,202.824,202.824,40015.824,40015.8244,36.33,-119.15,1263,,,,2009,,,,1.859,,,488,37,541,241,76.8,16.8,4.386,3.6,,,85,253,25.2,28.1,,,27.75,9.77,93.3,50.39,0.72,12.6,510,78.27,0.632,0.72,0.4,,,,13.47,11.64,20.57,2.9,12.27,1.86,3.735,,1046,182,294,1175,23,181,134,,3,,,287,102,104,44,33,4,,,25,19,97,42,40,28,7,59,,,40,7,,22,,46,105,17,,,,,,,,0.00001,0.00001,0.00001,16,46,17,7,8,1135,,3128,,7964,7459
2307,7304,1,202,7/21/09,19:48:00,19:48:44,202.825,202.826,40015.825,40015.8255,36.36,-119.25,1261,,,,2009,,,,2.077,,,478,18,530,239,76.2,16.4,4.167,3.3,,,111.9,258,25,26.7,,,24.75,9.44,92.5,52.58,0.504,8.16,501,13.45,0.592,0.7,0.3,,,,14.23,10.06,18.6,2.65,10.21,1.41,3.085,,857,147,220,925,13,166,77,,4,,,164,61,26,26,28,0.00001,0.00001,0.00001,19,0.00001,88,21,17,23,3,8,,,22,10,,11,,34,55,0.00001,,,,,,,,0.00001,0.00001,0.00001,8,19,7,5,0.00001,730,,2201,,3941,3428
2310,6386,1,202,7/21/09,19:49:30,19:50:13,202.826,202.827,40015.826,40015.8265,36.39,-119.36,1260,,,,2009,,,,1.995,,,504,16,534,244,77,16.8,4.557,3.4,,,109.4,284,27,29.2,,,25.35,9.78,94.4,56.36,1.38,18.41,519,12.92,0.59,0.71,0.3,,,,14.55,10.45,22.09,3.02,11.77,2.18,4.365,,982,205,415,1382,12,109,134,,3,,,288,100,0.00001,48,38,5,,,26,18,116,41,26,30,8,17,,,41,8,,20,,52,100,15,,,,,,,,3,0.00001,0.00001,13,28,19,8,0.00001,820,,2706,,5127,4240
2323,8166,1,202,7/21/09,19:51:00,19:51:45,202.827,202.828,40015.8271,40015.8276,36.43,-119.47,1267,,,,2009,,,,1.857,,,498,12,539,242,77.2,16.6,4.433,3.7,,,85.4,269,25.3,27.1,,,21.9,9.38,91.6,53.19,0.668,9.8,509,11.64,0.483,0.59,0.26,,,,12.49,10.12,18.76,3.86,10.23,1.72,3.535,,776,125,234,890,13,110,86,,0.00001,,,196,65,5,27,24,0.00001,0.00001,0.00001,20,12,98,23,31,31,3,8,,,24,6,,23,,44,63,10,,,,,,,,0.00001,0.00001,0.00001,12,47,25,4,0.00001,657,,2653,,6825,5152
2308,7800,1,202,7/21/09,19:52:30,19:53:12,202.828,202.829,40015.8281,40015.8286,36.46,-119.58,1268,,,,2009,,,,1.934,,,487,11,533,243,77.3,16.7,4.195,3.3,,,64.7,234,24.1,24.9,,,20.7,9.42,92.2,43.19,0.308,5.33,500,9.5,0.381,0.66,0.24,,,,10.99,7.18,11.42,1.62,6.07,1.04,2.005,,660,72,138,508,9,84,52,,0.00001,,,108,38,0.00001,21,11,0.00001,0.00001,0.00001,10,5,61,12,11,10,0.00001,0.00001,,,10,0.00001,,7,,21,29,5,,,,,,,,0.00001,0.00001,0.00001,4,10,5,0.00001,0.00001,452,,1322,,2355,2326
2309,6216,1,202,7/21/09,19:54:00,19:54:44,202.829,202.83,40015.8292,40015.8297,36.5,-119.69,1257,,,,2009,,,,1.906,,,501,15,533,239,76.2,16.6,4.138,3.3,,,57.4,227,24.8,25,,,18.45,9.18,89.7,37.82,0.208,3.35,507,9.5,0.327,0.63,0.2,,,,9.33,6.03,8.21,1.24,4.39,0.69,1.31,,579,53,92,350,9,44,39,,0.00001,,,80,27,4,14,9,0.00001,0.00001,0.00001,9,5,49,9,9,10,0.00001,24,,,13,0.00001,,4,,15,21,4,,,,,,,,3,0.00001,0.00001,30,85,106,0.00001,0.00001,473,,1234,,4705,2648
2324,8158,1,202,7/21/09,19:55:30,19:56:13,202.83,202.831,40015.8302,40015.8307,36.53,-119.79,1253,,,,2009,,,,1.882,,,498,12,531,239,76.7,16.6,4.148,3.3,,,55.5,222,24.3,23.9,,,17.55,9.06,88.7,36.48,0.196,3.3,508,9.18,0.293,0.6,0.22,,,,7.94,5.42,6.22,1.02,3.53,0.54,1.105,,544,40,77,204,4,14,30,,0.00001,,,54,18,9,8,3,0.00001,0.00001,0.00001,8,0.00001,45,4,20,10,0.00001,0.00001,,,8,0.00001,,3,,14,17,11,,,,,,,,0.00001,0.00001,0.00001,5,44,30,0.00001,0.00001,341,,1079,,2912,2249
