Year,Month,NH,HATS_NH_F12_sd,HATS_SH_F12,HATS_SH_F12_sd,Global,HATS_Global_F12_sd,HATS_alt_F12,HATS_alt_F12_sd,HATS_sum_F12,HATS_sum_F12_sd,HATS_brw_F12,HATS_brw_F12_sd,HATS_mhd_F12,HATS_mhd_F12_sd,HATS_thd_F12,HATS_thd_F12_sd,HATS_nwr_F12,HATS_nwr_F12_sd,HATS_kum_F12,HATS_kum_F12_sd,HATS_mlo_F12,HATS_mlo_F12_sd,HATS_smo_F12,HATS_smo_F12_sd,HATS_cgo_F12,HATS_cgo_F12_sd,HATS_ush_F12,HATS_ush_F12_sd,HATS_psa_F12,HATS_psa_F12_sd,HATS_spo_F12,HATS_spo_F12_sd,HATS_F12_Programs
1977,8,nan,nan,239.806,5.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,258.937,7.67,nan,nan,nan,nan,240.017,5.54,nan,nan,nan,nan,nan,nan,238.237,2.948,100000
1977,9,261.033,7.799,241.57,5.318,251.302,9.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,262.094,4.768,nan,nan,260.172,9.58,241.729,5.56,nan,nan,nan,nan,nan,nan,240.389,2.947,100000
1977,10,264.725,4.741,243.7,4.386,254.212,6.459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,264.825,6.075,nan,nan,264.644,3.28,243.808,4.53,nan,nan,nan,nan,nan,nan,242.897,3.112,100000
1977,11,267.753,7.972,246.055,6.407,256.904,10.227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,266.91,6.346,nan,nan,268.437,9.08,246.167,6.73,nan,nan,nan,nan,nan,nan,245.223,3.082,100000
1977,12,270.38,9.882,248.69,6.939,259.535,12.075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,268.878,11.64,nan,nan,271.599,8.18,248.927,7.09,nan,nan,nan,nan,nan,nan,246.925,5.69,100000
1978,1,272.748,10.265,251.372,7.968,262.06,12.994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.902,5.409,nan,nan,274.247,12.93,251.848,8.41,nan,nan,nan,nan,nan,nan,247.828,3.092,100000
1978,2,274.33,5.005,253.578,3.893,263.954,6.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,272.25,4.884,nan,nan,276.019,5.1,254.333,3.99,nan,nan,nan,nan,nan,nan,247.959,3.077,100000
1978,3,275.301,11.686,255.242,3.156,265.271,12.105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,272.804,5.33,nan,nan,277.329,14.98,256.197,3.16,nan,nan,nan,nan,nan,nan,248.14,3.126,100000
1978,4,278.633,7.732,256.656,3.128,267.644,8.34,nan,nan,nan,nan,290.101,8.66,nan,nan,nan,nan,274.589,4.758,nan,nan,279.317,9.3,257.661,3.109,nan,nan,nan,nan,nan,nan,249.175,3.261,100000
1978,5,281.347,4.267,257.57,6.573,269.459,7.836,nan,nan,nan,nan,287.604,4.043,nan,nan,nan,nan,279.08,4.624,nan,nan,281.77,4.006,258.484,6.9,nan,nan,nan,nan,nan,nan,250.772,3.225,100000
1978,6,284.377,6.981,257.944,5.931,271.16,9.16,nan,nan,nan,nan,286.414,4.16,nan,nan,nan,nan,285.112,5.42,nan,nan,283.319,8.46,258.696,6.21,nan,nan,nan,nan,nan,nan,252.345,3.162,100000
1978,7,286.559,10.211,258.02,4.724,272.289,11.25,nan,nan,nan,nan,286.489,6.69,nan,nan,nan,nan,290.358,6.44,nan,nan,283.488,12.99,258.611,4.9,nan,nan,nan,nan,nan,nan,253.619,3.113,100000
1978,8,287.599,7.637,258.399,7.027,272.999,10.378,nan,nan,nan,nan,287.959,4.298,nan,nan,nan,nan,293.495,9.8,nan,nan,282.728,6.06,258.937,7.4,nan,nan,nan,nan,nan,nan,254.399,3.058,100000
1978,9,287.849,5.555,259.684,6.96,273.767,8.905,nan,nan,nan,nan,291.266,7.47,nan,nan,nan,nan,293.675,4.922,nan,nan,282.343,5.53,260.303,7.33,nan,nan,nan,nan,nan,nan,255.076,3.022,100000
1978,10,287.922,7.855,261.927,4.685,274.925,9.146,nan,nan,nan,nan,294.736,9.5,nan,nan,nan,nan,290.784,8.44,nan,nan,284.053,6.89,262.672,3.57,nan,nan,nan,nan,nan,nan,256.391,9.51,100000
1978,11,288.372,11.543,264.6,6.152,276.486,13.079,nan,nan,nan,nan,296.468,8.5,nan,nan,nan,nan,286.905,16.39,nan,nan,287.727,6.09,265.472,6.45,nan,nan,nan,nan,nan,nan,258.112,3.14,100000
1978,12,289.138,8.924,267.27,7.029,278.204,11.36,nan,nan,nan,nan,296.666,11.72,nan,nan,nan,nan,284.69,3.912,nan,nan,291.043,10.9,268.283,7.27,nan,nan,nan,nan,nan,nan,259.731,4.88,100000
